title,release_year,genre,director,credits_score,studio
The Shawshank Redemption,1994,Drama,6.0,9.3,1.0
Forrest Gump,1994,"Drama, Romance",31.0,8.8,2.0
The Prestige,2006,"Drama, Mystery, Sci-Fi",16.0,8.5,3.0
The Matrix,1999,"Action, Sci-Fi",32.0,8.7,3.0
Interstellar,2014,"Adventure, Drama, Sci-Fi",16.0,8.6,2.0
Reservoir Dogs,1992,"Crime, Drama, Thriller",22.0,8.3,4.0
Spirited Away,2001,"Animation, Adventure, Family",18.0,8.6,5.0
American Beauty,1999,Drama,10.0,8.3,6.0
Pulp Fiction,1994,"Crime, Drama",22.0,8.9,7.0
Inception,2010,"Action, Adventure, Sci-Fi",16.0,8.8,3.0
The Dark Knight,2008,"Action, Crime, Drama",16.0,9.0,3.0
The Lives of Others,2006,"Drama, Thriller",3.0,8.4,8.0
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",33.0,8.8,9.0
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",33.0,8.7,9.0
The Usual Suspects,1995,"Crime, Mystery, Thriller",34.0,8.5,10.0
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",27.0,8.3,11.0
Das Boot,1981,"Action, Drama, Thriller",30.0,8.3,12.0
Braveheart,1995,"Biography, Drama, History",7.0,8.3,14.0
Cinema Paradiso,1988,"Drama, Romance",9.0,8.5,15.0
The Departed,2006,"Crime, Drama, Thriller",8.0,8.5,3.0
Amélie,2001,"Comedy, Romance",13.0,8.3,16.0
The Great Escape,1963,"Adventure, Drama, History",28.0,8.2,23.0
Gladiator,2000,"Action, Adventure, Drama",4.0,8.5,6.0
Requiem for a Dream,2000,Drama,11.0,8.3,22.0
Apocalypse Now,1979,"Drama, Mystery, War",5.0,8.4,13.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",12.0,8.3,3.0
Seven,1995,"Crime, Drama, Mystery",20.0,8.6,9.0
The Pianist,2002,"Biography, Drama, Music",15.0,8.5,21.0
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",17.0,8.7,17.0
Goodfellas,1990,"Biography, Crime, Drama",8.0,8.7,3.0
Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",17.0,8.6,17.0
Psycho,1960,"Horror, Mystery, Thriller",21.0,8.5,18.0
Fight Club,1999,Drama,20.0,8.8,19.0
The Green Mile,1999,"Crime, Drama, Fantasy",6.0,8.6,1.0
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",33.0,8.9,9.0
The Godfather,1972,"Crime, Drama",5.0,9.2,2.0
The Silence of the Lambs,1991,"Crime, Drama, Thriller",35.0,8.6,20.0
Full Metal Jacket,1987,"Drama, War",12.0,8.3,3.0
Schindler's List,1993,"Biography, Drama, History",25.0,8.9,24.0
Léon: The Professional,1994,"Action, Crime, Drama",36.0,8.5,25.0
American History X,1998,Drama,37.0,8.5,9.0
Saving Private Ryan,1998,"Drama, War",25.0,8.6,2.0
WALL·E,2008,"Animation, Adventure, Family",38.0,8.4,26.0
